attr_name,Control1,Control2,Control3,Control4,Control5,Control6,Control7,Control8,Control9,Control10,Control11,Control12,Control13,Control14,Control15
AQP7P1,9.93841405463249,10.0558521183889,7.55402475898305,8.76590467286057,9.77346926606841,9.38026946693739,8.85910303849996,8.75312478329529,7.85331826095428,7.69064650296685,6.57470915940545,9.04330395817601,10.7901438317992,8.6082936368888,5.97198068520267
AQP7P3,10.6112406265648,10.7519537506774,9.22606068232874,8.42963518991054,10.3675989150747,9.76679192743122,10.6103264293716,9.44590716731766,8.16927286156977,7.43532933007424,7.20040512410935,10.0729573843025,10.6460562447905,10.4868131344009,5.80709086901835
ARHGAP15,8.31805145861177,8.40108368125684,7.66021315185057,6.54709718099693,7.90193243342576,8.44576073262596,7.84750414653064,6.48605361275668,7.23911671309768,6.36145481658378,8.53693990311348,8.54515772393515,8.71691236843374,7.77571242933449,6.33040700351089
ASPA,9.72908688541766,8.82713975035978,8.70082370653802,7.21857138289107,8.80740895689108,8.5567704672211,8.60510726740327,7.65012998846828,8.99518987891757,8.07504198605865,9.48521677920042,8.61554174435051,9.66814028883678,9.37437380705224,8.91486596799833
ASPM,6.34358507308827,5.78965080988822,6.20402733297875,6.43270697640167,6.23146463635005,6.06889765646828,6.02317542147372,6.56686465279424,5.53351343163732,5.75925680401837,6.49177898823623,6.50555418033268,5.56508504064591,6.63461813950907,5.96830084440247
AY927489,9.24824782538659,9.25083736096872,8.9032155109349,9.097124334926,8.81325886358211,9.81415291658627,10.9700574053648,10.0289853392275,7.8754669648408,9.61984425220746,10.5587339380113,10.3285680555912,9.97131630626926,10.8769824745528,7.6583335217919
BC017398,3.92139815053496,4.32170400866354,4.35607294749981,5.12270433487802,4.52460588493856,3.98889565985007,4.54371068631995,4.57412697304964,4.14276275328677,4.81347884480689,3.97273346753539,3.94615189290129,3.69907279614521,3.70591009283714,3.61983172917862
BMP5,4.1175013941221,4.16753728224104,3.71610602847445,6.9545092141713,4.38052969597729,3.48226817657876,3.89724334006861,7.41517122736996,4.83827343925903,4.68684156034148,3.23190374833264,4.08708933036783,3.7016266651234,3.68295500478155,4.34785052060044
BRIP1,4.58595561431805,4.37209693429882,4.26326550130795,4.23164409426893,4.48777458914564,4.91061407002357,4.31722464058869,4.69231570305497,4.30419884220901,4.37049500692646,4.59110101107472,4.4638909686433,4.32704119120906,4.57228963478197,4.35212163188756
BX537573,4.55704100353838,3.81762295611261,4.62122982153083,5.3583681039732,4.46479988930845,4.7942685369936,4.11989049989696,4.36217418796267,4.4934356517659,4.98686044641752,3.92078209680109,4.44505284895414,3.87437531557615,4.56989669586372,4.23362494338347
C3,11.1085761953207,11.1175503378387,10.3470232856538,11.2608028543176,10.8174069785188,11.8808787390548,12.1180298799213,11.4592745562669,9.70038183988034,11.1067844881648,12.0136838970702,11.7758537048893,11.6210553336579,11.8812574071851,8.54790152306389
CACHD1,5.70605238919768,5.82902940375542,5.63400701217855,7.40606565906293,6.08380343512349,5.57352250536779,5.67087925424441,6.90580323382883,5.40614145323364,7.60350917505082,5.31925041241722,5.81879383851565,5.75554114251058,5.88009556118794,5.7837355080935
CADM2,7.00646510108242,6.17318450497454,7.77430321005169,4.66623626023524,6.28177683066306,6.075372094957,3.62914191298768,5.74834176512076,8.28890065571824,8.39811209816328,8.26865068684225,5.68652592968658,7.58932843372673,5.64207266780248,9.01346263593023
CCNB1,5.06968113143386,4.71715671053695,4.87020402324968,4.88476507967374,4.92872653495607,5.26886283582351,5.15039918572196,5.38372455868386,4.00439515475248,5.1360031188741,5.78830725700698,5.23751222752391,5.17024183649801,5.73315622596781,4.79750914822582
CDH19,10.9000827712777,10.995448880375,10.030568334764,8.33459569847924,10.6752454929067,10.7565145420333,10.2752175163918,8.92227901743539,10.3644101019579,10.6420416457054,11.2146423758219,11.1018078687526,11.4096771251247,11.0718739241212,10.3933652662403
CDH6,8.2968540479954,8.35673545035247,8.03518524827668,8.28325295023269,8.17033953776633,8.13701771717504,9.92987336522646,8.61960141710492,9.04875418346498,9.2040007875264,8.89614950783292,8.39099165870644,9.56699459411194,9.34890194053171,9.08551303699388
