attr_name	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor17	Tumor18
NPY1R	38.1531951000618	7.26824574097108	8.94213686786081	76.9658356326531	17.241978758587	0	5.39728496952574	38.3674414812398	37.7595214971881	28.3154121672184	22.6723126021033	137.632887528728	5.5410195168558	6.947452594666	75.2258693479618	5.73927674377718	6.83842229497623	14.6767716211622
NPY5R	19.0765975500309	1.6151657202158	0.745178072321734	12.8276392721089	0	17.2004910736492	3.23837098171544	9.79594250584847	0	5.50577458807024	4.53446252042066	28.4004371091025	4.98691756517022	3.85969588592555	9.11828719369234	3.18848707987621	3.73004852453249	6.29004498049808
HMGB2	587.559204540952	635.567710904916	400.160624836771	397.656817435375	492.180120926937	801.542884032054	469.563792348739	677.552689987852	488.776028269157	413.719633332135	7130.44231336149	651.025404500965	374.018817387767	578.182443711648	764.416409737874	723.7865671319	772.741719332314	554.222852170553
GPM6A	57.2297926500928	9.69099432129478	5.96142457857388	137.605584918986	13.3233472225445	24.0806875031089	9.71511294514633	104.490053395717	37.7595214971881	72.3616088717803	36.8425079784179	68.8164437643638	3.87871366179906	9.26327012622133	14.4372880566795	15.9424353993811	26.7320144258162	5.59115109377607
KLKB1	3.81531951000618	4.03791430053949	8.19695879553908	8.16304317316018	2.35117892162549	24.0806875031089	12.9534839268618	5.71429979507827	8.3910047771529	19.6634806716794	2.83403907526291	29.4927616132988	2.7705097584279	6.17551341748089	6.07885812912822	2.55078966390097	3.73004852453249	5.59115109377607
TRIP13	57.2297926500928	79.9507031506819	26.0812325312607	16.3260863463204	28.2141470595059	99.7628482271655	112.263527366135	15.5102423009267	12.5865071657294	29.1019513940855	52.1463189848376	18.5695165713363	62.6135205404706	79.5097352500664	41.7921496377565	26.145594054985	123.713276063661	34.9446943361005
MRPL36	41.968514610068	70.2597088293872	40.9847939776954	50.1444080636983	69.7516413415564	41.2811785767581	45.3371937440162	52.2450266978585	10.4887559714411	26.742333713484	31.7412376429446	20.7541655797288	66.4922342022696	67.9306475922897	44.8315787023206	45.9142139502175	73.3576209824723	62.9004498049808
ADAMTS16	99.1983072601608	12.1137429016185	29.0619448205476	13.993788296846	3.91863153604249	58.4816696504074	7.55619895733604	6.53062833723231	10.4887559714411	10.2250099492733	7.36850159568358	9.83092053776626	7.20332537191254	16.2107227208873	5.3190008629872	12.7539483195049	19.89359213084	4.19336332033206
BASP1	209.84257305034	787.393288605201	754.120209189595	177.25465176005	554.094499196408	347.449919687714	4522.92480446257	338.776344993926	356.617703028998	655.187175980358	786.729247292985	364.836384401548	632.784428824933	404.496128844998	744.660120818207	508.244840532268	1416.17508981417	740.82751992533
ADAMTS12	99.1983072601608	174.437897783306	565.590156892196	102.621114176871	101.884419937105	75.6821607240566	41.0193657683956	25.3061848067752	67.1280382172232	169.105933776443	29.4740063827343	62.2624967391863	70.9250498157543	60.9831949976238	66.8674394204104	102.031586556039	52.8423540975436	119.510854629464
