attr_name	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18
GAPT	31.2017394220589	260.737671558516	20.017435174807	30.3575606792459	35.6367752991156	39.1733317940201	33.3058602185153	86.449567971457	41.9550238857645	64.4962166031085	490.855567835537	65.539470251775	91.0271309469301	77.4911855118868	53.0513131390697	48.4928786482375	62.4271112861303	167.703016757517
ELOVL7	8.32046384588238	57.5654599544776	10.4438792216384	22.4381970237904	19.7982084995087	58.7599976910301	37.0065113539059	25.8457471254872	16.7820095543058	13.371166856742	25.5063516773662	8.73859603357001	27.8138455671175	16.0326590714249	42.4410505112558	8.36084114624785	28.3759596755138	15.746762136856
TMEM171	2.0801159614706	2.25746901782265	2.61096980540961	3.95968182772772	1.31988056663391	6.52888863233668	3.70065113539059	0.891232659499557	12.5865071657294	3.93269613433588	1.13361563010517	4.369298016785	2.5285314151925	0	0.75787590198671	1.67216822924957	2.12819697566353	1.5746762136856
CRHBP	20.801159614706	134.319406560448	39.1645470811441	48.8360758753086	201.941726694988	45.7022204263567	37.0065113539059	150.618319455425	27.2707655257469	103.0366387196	76.5190550320987	120.155695461588	155.083260131807	82.8354052023618	183.405968280784	147.150804173962	117.760232653382	61.4123723337385
CMYA5	426.423772101472	65.4666015168568	146.214309102938	84.4732123248581	118.789250997052	169.751104440754	8168.5706061855	1219.20627819539	457.309760354833	169.89247300331	163.240650735144	456.591642754033	406.250714040929	2365.70791631691	173.553581554957	217.939259212194	282.340798771362	69.2857534021665
THBS4	241.293451530589	106.101043837665	214.969847312058	62.0350153010677	43.556058698919	169.751104440754	402.137423379111	65.0599841434677	119.571818074429	51.1250497463665	476.11856464417	351.728490351193	808.287209056537	624.383000503823	441.841650858252	3030.52622080997	342.639713081829	556.64804153786
HAPLN1	74.8841746129415	58.6941944633889	230.635666144515	316.774546218218	65.9940283316955	221.982213499447	165.295750714113	57.0388902079717	148.940334794464	325.627239923011	342.35192029176	269.804152536474	117.155288903919	1154.35145314259	143.238545475488	147.150804173962	95.768863904859	414.927182306156
RFESD	4.16023192294119	117.388388926778	8.70323268469869	27.7177727940941	15.8385667996069	19.58666589701	13.5690541630988	11.5860245734942	20.9775119428823	11.0115491761405	128.665374016936	20.7541655797288	42.9850340582725	26.7210984523748	20.4626493536412	7.80345173649799	17.7349747971961	44.8782720900396
SPATA9	2.0801159614706	58.6941944633889	21.7580817117467	2.63978788515182	6.59940283316955	13.0577772646734	2.46710075692706	11.5860245734942	4.19550238857645	7.86539226867177	11.3361563010517	21.846490083925	9.27128185570584	4.45351640872913	6.06300721589368	8.91823055599771	9.22218689454198	7.08604296158521
SLCO4C1	27.0415074991178	450.365069055619	17.4064653693974	27.7177727940941	39.5964169990173	39.1733317940201	39.473612110833	63.2775188244686	23.0752631371705	31.4615690746871	514.661496067745	64.4471457475788	123.055195539368	51.6607903412579	65.9352034728438	34.0007539947413	96.4782628967469	282.654380356565
