attr_name	ControlSkeletal1	ControlSkeletal2	ControlSkeletal3	ControlSkeletal4	ControlSkeletal5	ControlVastus1	ControlVastus2	ControlVastus3	ControlVastus4	ControlVastus5	ControlVastus6	ControlVastus7	ControlVastus8	ControlVastus9	ControlVastus10	ControlVastus11	ControlVastus12	ControlVastus13
1553422_s_at	8.5433287839885	8.74622807904275	9.18793035426338	8.18011464231039	8.98249133758087	8.7788393061283	9.04141231286945	9.22958548770255	8.22670144320519	8.59897574175983	8.87627273181561	8.84918176662272	8.76214692038395	8.82619772123035	8.79260774304204	8.78625264894213	8.2600479230793	8.38633725912805
1553433_at	3.36839456471224	3.23683076891202	3.09197422600455	3.39159127467735	3.01484802119311	3.2790039825749	3.43163559286651	3.01932463872643	2.97736689059552	3.21520579672162	2.82302962310507	3.06801216525245	2.81692973748155	3.05426826977268	3.04007976602308	2.56906020979159	2.70146768391329	3.09974878086221
1553720_a_at	6.03597900165024	6.3312476805925	6.14972831324927	6.11212783611542	5.98894199161026	6.32713080390094	6.29210511706354	6.05094955134234	6.07833184152907	5.90432974079457	5.47211106682808	5.8340695690989	6.02399253315451	5.75652913100208	6.38271846917298	6.29603775682627	6.34613986993235	6.09599658814355
1553873_at	5.63582147705379	5.45675735320422	7.09931182086634	6.50037379558491	6.39293005894518	7.28351139866833	6.90595504626911	7.06435560030432	6.28001660234493	8.01119208021103	6.55727655574961	5.88564236378325	6.61910333944069	8.63851493996646	8.00453138493156	9.5639350123882	7.24502584866708	7.50268867894735
1553959_a_at	4.84120441716147	4.09621716172492	4.17331355383499	4.55565353939225	4.7837599332749	4.58482846569957	4.1154729923823	4.52701818776062	4.37754856836456	4.56024767496519	4.56540814700331	4.59432806271763	4.43165567018027	5.07736138165213	4.86551845161455	4.76909658196432	4.42054823135839	4.5325278575184
1554062_at	3.9573861565856	3.83191083557432	3.54083159782417	4.20737031498665	3.70155034540954	3.75149102306264	3.92600628345004	3.4482968725306	3.72413020156452	3.97946520566563	3.4208774013228	3.72648571826402	4.12573328398287	3.75521543756611	3.72707326592006	4.07003803838009	3.75521543756611	3.50537980106471
1554579_a_at	8.30980469704368	7.82437350717149	7.60760417327324	8.07045320327476	8.12122392343701	7.83523403242528	8.8884966468365	8.41471776767263	6.59270806851075	7.18769909955416	8.29794997585552	7.75193958394096	7.59057075398984	8.6051338490807	8.28245489779602	9.38257089240034	9.09524024264235	9.0868862517184
1554638_at	3.5734347918822	3.4232778151183	3.96299890148988	2.99189300449676	3.58169638000295	3.67818622310384	3.64912841813241	3.53545028036935	3.61191151312065	3.64308742150726	3.42052929617397	3.45575875139515	3.61462056235296	3.94473118308347	4.04161837413527	3.38165697161105	3.30512920985329	3.1326722500849
1554803_s_at	9.03790289747264	9.12343856818318	9.29146450728102	9.09277883969138	8.99578986323401	9.2933802978163	8.93433873895505	9.1390944851193	8.91923353134954	9.30165173351052	8.79745596146981	9.17446733796037	9.333492109502	8.26269375602337	9.38210409305334	7.87241917869585	8.02188906464712	8.76970636738259
1555044_a_at	7.45559267535524	7.17413767176873	7.95560102651985	7.95601262271852	7.28126536499953	9.03271647085458	7.66341183598599	7.56008235459505	7.05507364518738	7.08098359208219	7.94864783027386	8.04759096335578	6.4178030152131	9.33712305831547	8.60308756333099	10.1378075851558	8.50771781377843	9.16351844599417
