attr_name	ControlSkeletal1	ControlSkeletal2	ControlSkeletal3	ControlSkeletal4	ControlSkeletal5	ControlVastus1	ControlVastus2	ControlVastus3	ControlVastus4	ControlVastus5	ControlVastus6	ControlVastus7	ControlVastus8	ControlVastus9	ControlVastus10	ControlVastus11	ControlVastus12	ControlVastus13
1552348_at	6.41362210824135	6.49648787834697	6.18455401900255	6.7959347939195	6.47017817838449	6.44160028410333	6.7302264783652	6.17936484927431	6.69731319740144	6.51987319672345	6.33914778686138	6.29615449886096	6.31734049541581	6.53666437648477	5.8917746236042	6.19567230017934	7.16371904064535	7.3116466387138
1552400_a_at	5.44154730191476	5.69162565957598	5.94614242755348	5.64016196200108	5.05723375769426	4.98252977489252	5.06333078458491	5.51819814523065	4.92799357330922	4.93990046362797	4.65036467811279	4.6123376949118	5.36632499691221	5.0345645504475	5.54246930108703	5.03339513053581	5.49116302478757	5.30590739151521
1552402_at	5.04823283037633	4.68773825219482	5.29264697235985	5.12867590973995	6.54641588542339	4.16598193627293	4.82932545661659	3.90496312351964	4.44916839603054	3.79210521819798	5.79788081603991	4.50452667497985	4.26844339292958	5.57019664257482	7.55140043920145	4.29566735600693	5.48025025457126	4.44898757313878
1552411_at	6.98986779947549	6.81761780379666	6.24970025661518	8.3149286950248	7.69996563288433	7.65959193093531	7.7212849584633	6.7074420103119	8.02209728174777	8.07094128585055	7.81802684683175	7.77797720712265	8.03821211295364	7.27284318230923	7.07219782134931	6.81581159080766	6.39915241403703	6.92959723787009
1552417_a_at	4.64291903552879	4.52461616184714	5.00695740896832	4.61796226242333	6.45188085146228	5.15461414388141	5.23653184435839	5.50546963740705	5.30539687748364	5.25930127817906	6.29571607375842	6.21970868036031	5.62837544094172	6.36738291335308	4.89047181035572	5.75898671493766	4.43337726692034	5.10908465726677
1552450_a_at	5.57824056519805	5.26243358031765	5.23655284784304	5.15883146163625	5.12201879359393	4.86211977735543	5.43533159006103	5.47717036666962	5.28735611025365	5.15848669531912	5.49276925486511	4.86497795872782	5.31390226051682	5.80899889109484	5.54775081066357	5.5423303541288	6.01445541948268	5.95376725899109
1552473_at	8.39013379371027	8.32185116857262	8.24880198596066	8.21556160925268	8.40744420080967	8.52936632821445	8.4077172935419	8.23433892584633	8.23662653927916	8.02114016835634	8.43061568648409	8.14382826893902	8.0376766661162	8.35009578553497	8.37467071221697	8.06097389177116	7.77820202035864	7.15919261130934
1552474_a_at	10.838807573903	10.7980796749158	10.8492335184556	11.248608376589	10.8921505424406	10.5007631673517	11.199660822906	10.7893756691133	10.4552713721485	10.0179640430923	10.9719050909764	10.6097479945334	10.0461322765974	9.91767040738344	9.73233142805839	9.35196717628181	11.1062337282377	10.4881146714326
1552482_at	3.67201282977485	3.85621772184022	3.97059426745782	3.81699814179152	3.63933546591848	3.90873978335704	3.85291411376309	4.08388414091445	3.91557764690444	3.79358651396697	3.68856426872938	3.92504764246215	3.58646496737311	4.36139543817922	4.12401167563378	4.06101890177744	3.02724956560255	3.53152619631274
1552486_s_at	5.16069394463699	4.77961533995191	4.88328074470728	5.20041748898242	5.46127848033038	5.03948220075773	4.64902758944238	4.72647379973322	4.24790341170398	3.91753591053488	4.94069397377088	4.34635183062508	4.16207729011497	4.12870864324212	3.78747321353993	3.96641804087814	3.21059936138549	3.89991595399605
