genes;condiciones
113219467,84059,85452,7203,57669,33,9208,54861,64332,645843,2122,84239,100506658,1906,80736,11185,222183,285989,222389,1132,649946,107984406,9052,120892,144535,3240,3993,2627,9454,57186,6103;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,92304,85452,57111,54861,653082,107984125,341676,123872;Metastatic1,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,2324,54861;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,79908,22996,277,57669,54861,776,64332,645843,3248,105180391,285989,6505,65217,378938,109136579,7225,259290,121512,10129,1152,100652781,3993,2627,25804,163131,57186;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,10917,85452,1579,22996,168090,11185,100129460,6337,1152,3880,2627,57477;Metastatic1,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic10
113219467,84851,7203,57710,130271,57669,115677,9208,54861,5961,441151,346007,79632,441251,541473,222183,4233,10529,728643,219790,1132,7225,649946,9365,503645,94025,57186,26226,6103;Metastatic2,Metastatic3,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,389376,84842,163479,165186,6496,406903,100130701,56955,10586,3207,222166,222183,102724057,2619,1515,84867,65998,89,103504738,6928,4861,7125,23562,4574;Metastatic2,Metastatic3,Metastatic5,Metastatic7,Metastatic9,Metastatic10
113219467,177,84842,1580,6496,419,10586,222166,11185,105375355,4062,102724057,2619,6441,84867,65998,89,399949,64137,107984498,363,3229,387882,103504738,728276,644649,8313,2125,100423031,3780,388555,4606,57526,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic5,Metastatic9,Metastatic10
113219467,441151,84842,163479,6496,406903,222166,100506380,102724057,65998,89,57526,4574;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,221395,54897,9411,722,130271,6332,115677,79083,9223,256076,131873,200879,3248,105180391,93035,8395,219790,7225,5787,54997,100820829,79148,79818,2277;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,114327,65217,57186;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,27283,276,277,278,26769,57710,10018,112268422,692058,130367,9208,100130449,54861,64332,645843,114327,25901,5340,100129460,285989,222256,65217,4583,378938,109136579,619383,259290,121512,10129,9365,28984,55329,79838,55567,10595,116844,148213,94059,57186;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic9,Metastatic10
113219467,346007,7203,57710,130271,57669,115677,9208,54861,441251,222183,4233,1132,7225,649946,6103;Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,79632,7203,57710,130271,57669,9208,54861,441151,222183,728643,1132,649946,23562,6103;Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,57211,7203,130271,441151,79632,222183,728643,1132,649946,23562,6103;Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,168090,1579,1999,9208,54861,5961,100129460,222256,83481,6337,3856,9365,3880,116844,26226;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic7,Metastatic10
113219467,340267,278,26769,9208,54861,285989,222256,10129,116844,57186;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,9771,1513;Metastatic1,Metastatic2,Metastatic3,Metastatic4,Metastatic6,Metastatic9,Metastatic10
113219467,3206,84842,388633,163479,692209,6496,406903,419,26797,441151,222166,222183,100506380,4062,102724057,1515,84867,65998,89,64137,107984498,363,3229,103504738,100423031,84518,388555,23562,57526,340596,4574;Metastatic1,Metastatic3,Metastatic4,Metastatic7,Metastatic9,Metastatic10
113219467,3207,6496,100130701,116984,84518,23562,57526;Metastatic2,Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,100129460,1999,9208,54861,222256,9365,116844;Metastatic1,Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,6969,85452,149465,80122,54861,1906,80736,285989,107984125,116844,5349;Metastatic1,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic10
113219467,168374,276,277,278,26769,9208,54861,51554,153643,5961,340267,441251,285989,222256,595135,7225,3856,10129,9365,28984,8796,112268155,116844,1556,57186,26226,100158262;Metastatic1,Metastatic2,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,441251,276,277,278,26769,1999,9208,54861,51554,153643,5961,340267,285989,222256,595135,7225,3856,9365,28984,8796,116844,1556,57186,26226;Metastatic1,Metastatic2,Metastatic4,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,105180390,9411,10203,441151,641776,105180391,222183,1132;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,105180391,9411,10203,54861,653082,441151;Metastatic3,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,541473,276,278,57710,105373265,57669,9208,441151,222183,1132,28984,23562;Metastatic1,Metastatic2,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,4233,276,278,7203,57710,130367,9208,54861,100130701,441151,100129460,222183,1132,649946,28984,79838,23562,6103;Metastatic2,Metastatic4,Metastatic5,Metastatic6,Metastatic7,Metastatic9,Metastatic10
113219467,1080,276,7203,57710,1999,57669,9208,54861,201625,79740,222183,2619,728643,1132,65998,649946,28984,4861,84700,6103,4574;Metastatic2,Metastatic3,Metastatic5,Metastatic6,Metastatic7,Metastatic10
